Trip Duration,Start Time,Stop Time,Start Station ID,Start Station Name,Start Station Latitude,Start Station Longitude,End Station ID,End Station Name,End Station Latitude,End Station Longitude,Bike ID,User Type,Birth Year,Gender
1814,4/1/2018,4/1/2018,3183,Exchange Place,40.7162469,-74.0334588,3638,Washington St,40.7242941,-74.0354826,26175,Subscriber,1978,1
298,4/1/2018,4/1/2018,3183,Exchange Place,40.7162469,-74.0334588,3187,Warren St,40.7211236,-74.03805095,31847,Subscriber,1979,1
1060,4/1/2018,4/1/2018,3183,Exchange Place,40.7162469,-74.0334588,3192,Liberty Light Rail,40.7112423,-74.0557013,33463,Subscriber,1972,1
1035,4/1/2018,4/1/2018,3183,Exchange Place,40.7162469,-74.0334588,3192,Liberty Light Rail,40.7112423,-74.0557013,31738,Subscriber,1983,1
559,4/1/2018,4/1/2018,3183,Exchange Place,40.7162469,-74.0334588,3199,Newport Pkwy,40.7287448,-74.0321082,31925,Subscriber,1989,1
232,4/1/2018,4/1/2018,3183,Exchange Place,40.7162469,-74.0334588,3267,Morris Canal,40.71241882,-74.03852552,29240,Subscriber,1990,1
149,4/1/2018,4/1/2018,3183,Exchange Place,40.7162469,-74.0334588,3639,Harborside,40.7192517,-74.034234,26307,Subscriber,1988,1
1024,4/1/2018,4/1/2018,3183,Exchange Place,40.7162469,-74.0334588,3272,Jersey & 3rd,40.72333159,-74.04595256,29583,Customer,1969,0
882,4/1/2018,4/1/2018,3183,Exchange Place,40.7162469,-74.0334588,3638,Washington St,40.7242941,-74.0354826,26249,Customer,1992,1
676,4/1/2018,4/1/2018,3183,Exchange Place,40.7162469,-74.0334588,3211,Newark Ave,40.72152515,-74.04630454,31686,Customer,1969,0
605,4/1/2018,4/1/2018,3183,Exchange Place,40.7162469,-74.0334588,3211,Newark Ave,40.72152515,-74.04630454,26206,Customer,1969,0
337,4/1/2018,4/1/2018,3183,Exchange Place,40.7162469,-74.0334588,3267,Morris Canal,40.71241882,-74.03852552,26257,Subscriber,1991,1
316,4/1/2018,4/1/2018,3183,Exchange Place,40.7162469,-74.0334588,3267,Morris Canal,40.71241882,-74.03852552,29440,Subscriber,1990,1
555,4/1/2018,4/1/2018,3183,Exchange Place,40.7162469,-74.0334588,3267,Morris Canal,40.71241882,-74.03852552,29662,Subscriber,1990,1
2080,4/1/2018,4/1/2018,3183,Exchange Place,40.7162469,-74.0334588,3183,Exchange Place,40.7162469,-74.0334588,29579,Subscriber,1988,1
378,4/1/2018,4/1/2018,3183,Exchange Place,40.7162469,-74.0334588,3267,Morris Canal,40.71241882,-74.03852552,26291,Subscriber,1977,1
253,4/1/2018,4/1/2018,3183,Exchange Place,40.7162469,-74.0334588,3276,Marin Light Rail,40.71458404,-74.04281706,29542,Subscriber,1994,1
363,4/1/2018,4/1/2018,3183,Exchange Place,40.7162469,-74.0334588,3211,Newark Ave,40.72152515,-74.04630454,29613,Subscriber,1981,2
264,4/1/2018,4/1/2018,3183,Exchange Place,40.7162469,-74.0334588,3214,Essex Light Rail,40.7127742,-74.0364857,26303,Subscriber,1979,2
625,4/1/2018,4/1/2018,3183,Exchange Place,40.7162469,-74.0334588,3214,Essex Light Rail,40.7127742,-74.0364857,31874,Subscriber,1970,1
237,4/1/2018,4/1/2018,3183,Exchange Place,40.7162469,-74.0334588,3267,Morris Canal,40.71241882,-74.03852552,26238,Subscriber,1971,1
291,4/1/2018,4/1/2018,3183,Exchange Place,40.7162469,-74.0334588,3267,Morris Canal,40.71241882,-74.03852552,31675,Subscriber,1983,1
487,4/1/2018,4/1/2018,3183,Exchange Place,40.7162469,-74.0334588,3203,Hamilton Park,40.72759597,-74.04424731,29619,Subscriber,1953,2
1826,4/1/2018,4/1/2018,3183,Exchange Place,40.7162469,-74.0334588,3281,Leonard Gordon Park,40.74590997,-74.05727148,29641,Subscriber,1976,1
237,4/1/2018,4/1/2018,3183,Exchange Place,40.7162469,-74.0334588,3214,Essex Light Rail,40.7127742,-74.0364857,26298,Subscriber,1980,1
