Date,Trips over the past 24-hours (midnight to 11:59pm),Cumulative trips (since launch):,Miles traveled today (midnight to 11:59 pm),Miles traveled to date:,Total Annual Members (All Time),24-Hour Passes Purchased (midnight to 11:59 pm),7-Day Passes Purchased (midnight to 11:59 pm),"Short-Term Customers (24-Hour, 3-Day, and 7-Day Passes, midnight to 11:59pm)"
2/2/2016,28527,24922335,47742,45535150,160189,280,31,311
2/3/2016,16203,24938538,24225,45559375,160216,63,12,75
2/4/2016,27765,24966303,47458,45606833,160247,304,24,328
2/5/2016,13669,24979972,25538,45632371,160257,102,7,109
2/6/2016,16933,24996905,38782,45671153,160280,586,35,621
2/7/2016,17605,25014510,31524,45702677,160316,622,30,652
2/8/2016,19026,25033536,28648,45731325,160335,80,20,100
2/9/2016,22740,25056276,40198,45771523,160364,156,9,165
2/10/2016,22418,25078694,38402,45809925,160395,130,17,147
2/11/2016,18747,25097441,27783,45837708,160425,87,15,102
2/12/2016,16445,25113886,27143,45864851,160450,104,16,120
2/13/2016,6625,25120511,11589,45876440,160459,46,4,50
2/14/2016,4652,25125163,6934,45883374,160468,78,4,82
2/15/2016,5883,25131046,8747,45892121,160480,43,1,44
2/16/2016,14225,25145271,27802,45919923,160505,53,19,72
2/17/2016,23572,25168843,38304,45958227,160528,182,26,208
2/18/2016,22261,25191104,34431,45992658,160550,202,26,228
2/19/2016,21959,25213063,35317,46027975,160568,268,17,285
2/20/2016,24484,25237547,53540,46081515,160618,1710,50,1760
2/21/2016,20052,25257599,41645,46123160,160685,1228,29,1257
2/22/2016,28233,25285832,48237,46171397,160749,455,37,492
2/23/2016,16133,25301965,26379,46197776,160784,62,10,72
2/24/2016,9761,25311726,14994,46212770,160814,38,3,41
2/25/2016,25102,25336828,42707,46255477,160849,237,23,260
2/26/2016,22574,25359402,36101,46291578,160887,254,19,273
2/27/2016,17226,25376628,37583,46329161,160910,706,18,724
2/28/2016,25440,25402068,61595,46390756,160982,2335,43,2378
2/29/2016,27957,25430025,47933,46438689,161089,376,58,434
3/1/2016,30509,25460534,55160,46493849,161146,470,66,536
3/2/2016,26195,25486729,43535,46537384,161198,235,35,270
3/3/2016,24061,25510790,37848,46575232,161243,215,22,237
3/4/2016,17369,25528159,29100,46604332,161268,150,16,166
3/5/2016,18023,25546182,36875,46641207,161310,785,46,831
3/6/2016,18832,25565014,36377,46677584,161379,837,40,877
3/7/2016,31492,25596506,56232,46733816,161493,633,58,691
3/8/2016,36521,25633027,67958,46801774,161604,723,98,821
3/9/2016,41489,25674516,81662,46883436,161732,1226,125,1351
3/10/2016,42252,25716768,82079,46965515,161867,1271,111,1382
3/11/2016,38193,25754961,76636,47042151,161987,1266,79,1345
3/12/2016,32770,25787731,81491,47123642,162086,3247,105,3352
3/13/2016,27549,25815280,63214,47186856,162214,2216,67,2283
3/14/2016,10930,25826210,16498,47203354,162289,70,17,87
3/15/2016,31595,25857805,57722,47261076,162380,582,79,661
3/16/2016,36067,25893872,68713,47329789,162482,930,78,1008
3/17/2016,35390,25929262,65353,47395142,162583,785,98,883
3/18/2016,34647,25963909,69122,47464264,162670,933,87,1020
3/19/2016,24048,25987957,49113,47513377,162733,1411,69,1480
3/20/2016,16676,26004633,29737,47543114,162795,633,40,673
3/21/2016,26414,26031047,44457,47587571,162890,428,57,485
3/22/2016,33496,26064543,62248,47649819,163000,705,99,804
3/23/2016,40981,26105524,80289,47730108,163136,1279,120,1399
3/24/2016,36495,26142019,67590,47797698,163216,1045,101,1146
3/25/2016,34091,26176110,70525,47868223,163320,1684,128,1812
3/26/2016,27474,26203584,67267,47935490,163407,2834,108,2942
3/27/2016,22481,26226065,52462,47987952,163501,2080,67,2147
3/28/2016,20344,26246409,35548,48023500,163589,375,60,435
3/29/2016,31481,26277890,55067,48078567,163681,588,97,685
3/30/2016,33674,26311564,61264,48139831,163770,769,64,833
3/31/2016,38192,26349756,79447,48219278,163865,1141,91,1232
