Date,Trips over the past 24-hours (midnight to 11:59pm),Cumulative trips (since launch):,Miles traveled today (midnight to 11:59 pm),Miles traveled to date:,Total Annual Members (All Time),24-Hour Passes Purchased (midnight to 11:59 pm),7-Day Passes Purchased (midnight to 11:59 pm),"Short-Term Customers (24-Hour, 3-Day, and 7-Day Passes, midnight to 11:59pm)"
1/1/2016,11009,24371025,24429,44606414,159362,919,51,970
1/2/2016,14587,24385612,29093,44635507,159403,877,34,911
1/3/2016,15499,24401111,29616,44665123,159459,784,27,811
1/4/2016,19593,24420704,36172,44701295,159502,166,33,199
1/5/2016,18053,24438757,32049,44733344,159534,121,22,143
1/6/2016,24569,24463326,40996,44774340,159564,265,27,292
1/7/2016,27773,24491099,45986,44820326,159588,318,24,342
1/8/2016,28709,24519808,47061,44867387,159621,364,28,392
1/9/2016,20846,24540654,37341,44904728,159654,632,20,652
1/10/2016,14275,24554929,25404,44930132,159682,391,18,409
1/11/2016,22937,24577866,37393,44967525,159731,155,32,187
1/12/2016,25211,24603077,38958,45006483,159761,151,23,174
1/13/2016,21133,24624210,31608,45038091,159792,82,15,97
1/14/2016,23780,24647990,37295,45075386,159813,123,29,152
1/15/2016,28435,24676425,45993,45121379,159841,379,27,406
1/16/2016,19178,24695603,35791,45157170,159885,803,37,840
1/17/2016,12024,24707627,20487,45177657,159910,387,22,409
1/18/2016,12718,24720345,19998,45197655,159931,123,13,136
1/19/2016,17281,24737626,26966,45224621,159957,64,12,76
1/20/2016,23419,24761045,35477,45260098,159972,126,11,137
1/21/2016,23671,24784716,36048,45296146,159991,133,15,148
1/22/2016,20950,24805666,31344,45327490,160004,115,6,121
1/23/2016,0,24805666,0,45327490,160005,0,0,0
1/24/2016,0,24805666,0,45327490,160013,0,0,0
1/25/2016,0,24805666,0,45327490,160020,0,0,0
1/26/2016,0,24805666,0,45327490,160028,0,0,0
1/27/2016,6760,24812426,13698,45341188,160039,54,6,60
1/28/2016,11944,24824370,22314,45363502,160053,81,9,90
1/29/2016,16028,24840398,26896,45390398,160064,118,27,145
1/30/2016,12964,24853362,23350,45413748,160084,328,23,351
1/31/2016,16112,24869474,31280,45445028,160118,533,17,550
2/1/2016,24334,24893808,42380,45487408,160160,202,31,233
