Trip Duration,Start Time,Stop Time,Start Station ID,Start Station Name,Start Station Latitude,Start Station Longitude,End Station ID,End Station Name,End Station Latitude,End Station Longitude,Bike ID,User Type,Birth Year,Gender
329,3/1/2018,3/1/2018,3183,Exchange Place,40.7162469,-74.0334588,3202,Newport PATH,40.7272235,-74.0337589,29284,Subscriber,1981,1
118,3/1/2018,3/1/2018,3183,Exchange Place,40.7162469,-74.0334588,3184,Paulus Hook,40.7141454,-74.0335519,29465,Subscriber,1966,1
76,3/1/2018,3/1/2018,3183,Exchange Place,40.7162469,-74.0334588,3184,Paulus Hook,40.7141454,-74.0335519,29681,Subscriber,1975,1
578,3/1/2018,3/1/2018,3183,Exchange Place,40.7162469,-74.0334588,3185,City Hall,40.7177325,-74.043845,31695,Subscriber,1970,1
485,3/1/2018,3/1/2018,3183,Exchange Place,40.7162469,-74.0334588,3187,Warren St,40.7211236,-74.03805095,31802,Subscriber,1979,1
352,3/1/2018,3/1/2018,3183,Exchange Place,40.7162469,-74.0334588,3202,Newport PATH,40.7272235,-74.0337589,31934,Subscriber,1974,1
450,3/1/2018,3/1/2018,3183,Exchange Place,40.7162469,-74.0334588,3183,Exchange Place,40.7162469,-74.0334588,29244,Subscriber,1984,1
307,3/1/2018,3/1/2018,3183,Exchange Place,40.7162469,-74.0334588,3481,York St,40.71649,-74.04105,31811,Subscriber,1968,2
263,3/1/2018,3/1/2018,3183,Exchange Place,40.7162469,-74.0334588,3213,Van Vorst Park,40.71848892,-74.04772663,26247,Subscriber,1986,1
238,3/1/2018,3/1/2018,3183,Exchange Place,40.7162469,-74.0334588,3267,Morris Canal,40.71241882,-74.03852552,31828,Subscriber,1974,1
246,3/1/2018,3/1/2018,3183,Exchange Place,40.7162469,-74.0334588,3267,Morris Canal,40.71241882,-74.03852552,31747,Subscriber,1983,1
1257,3/1/2018,3/1/2018,3183,Exchange Place,40.7162469,-74.0334588,3212,Christ Hospital,40.73478582,-74.05044364,26431,Subscriber,1987,1
401,3/1/2018,3/1/2018,3183,Exchange Place,40.7162469,-74.0334588,3199,Newport Pkwy,40.7287448,-74.0321082,26289,Subscriber,1941,2
281,3/1/2018,3/1/2018,3183,Exchange Place,40.7162469,-74.0334588,3211,Newark Ave,40.72152515,-74.04630454,31802,Subscriber,1981,1
