Trip Duration,Start Time,Stop Time,Start Station ID,Start Station Name,Start Station Latitude,Start Station Longitude,End Station ID,End Station Name,End Station Latitude,End Station Longitude,Bike ID,User Type,Birth Year,Gender
370,11/1/2017 0:04,11/1/2017 0:10,3199,Newport Pkwy,40.7287448,-74.0321082,3639,Harborside,40.7192517,-74.034234,31817,Subscriber,1975,1
96,11/1/2017 0:05,11/1/2017 0:07,3211,Newark Ave,40.72152515,-74.04630454,3270,Jersey & 6th St,40.72528911,-74.04557168,26307,Subscriber,1991,2
73,11/1/2017 0:09,11/1/2017 0:11,3275,Columbus Drive,40.7183552,-74.03891444,3187,Warren St,40.7211236,-74.03805095,31864,Subscriber,1974,1
162,11/1/2017 0:14,11/1/2017 0:16,3275,Columbus Drive,40.7183552,-74.03891444,3184,Paulus Hook,40.7141454,-74.0335519,26314,Subscriber,1979,1
214,11/1/2017 0:23,11/1/2017 0:27,3276,Marin Light Rail,40.71458404,-74.04281706,3186,Grove St PATH,40.71958612,-74.04311746,31772,Subscriber,1982,1
2691,11/1/2017 0:28,11/1/2017 1:13,3194,McGinley Square,40.72533993,-74.06762213,3183,Exchange Place,40.7162469,-74.0334588,31779,Subscriber,1971,1
222,11/1/2017 0:40,11/1/2017 0:44,3186,Grove St PATH,40.71958612,-74.04311746,3276,Marin Light Rail,40.71458404,-74.04281706,31772,Subscriber,1982,1
1490,11/1/2017 0:42,11/1/2017 1:06,3185,City Hall,40.7177325,-74.043845,3214,Essex Light Rail,40.7127742,-74.0364857,29655,Subscriber,1987,1
974,11/1/2017 0:42,11/1/2017 0:59,3200,MLK Light Rail,40.7111305,-74.0788855,3201,Dey St,40.737711,-74.066921,31767,Subscriber,1994,2
653,11/1/2017 0:56,11/1/2017 1:07,3194,McGinley Square,40.72533993,-74.06762213,3189,West Side Light Rail,40.714402,-74.0887723,29604,Subscriber,1962,1
1833,11/1/2017 1:10,11/1/2017 1:40,3214,Essex Light Rail,40.7127742,-74.0364857,3186,Grove St PATH,40.71958612,-74.04311746,29655,Subscriber,1987,1
1929,11/1/2017 1:22,11/1/2017 1:54,3183,Exchange Place,40.7162469,-74.0334588,3194,McGinley Square,40.72533993,-74.06762213,31779,Subscriber,1971,1
306,11/1/2017 2:55,11/1/2017 3:01,3186,Grove St PATH,40.71958612,-74.04311746,3278,Monmouth and 6th,40.72568548,-74.04879034,29655,Subscriber,1952,1
179,11/1/2017 3:00,11/1/2017 3:03,3272,Jersey & 3rd,40.72333159,-74.04595256,3269,Brunswick & 6th,40.72601173,-74.05038893,31825,Subscriber,1981,1
109,11/1/2017 3:38,11/1/2017 3:40,3272,Jersey & 3rd,40.72333159,-74.04595256,3278,Monmouth and 6th,40.72568548,-74.04879034,31709,Subscriber,1972,1
489,11/1/2017 3:51,11/1/2017 4:00,3280,Astor Place,40.7192822,-74.07126188,3195,Sip Ave,40.73074263,-74.06378388,31729,Subscriber,1960,1
148,11/1/2017 4:48,11/1/2017 4:50,3267,Morris Canal,40.71241882,-74.03852552,3183,Exchange Place,40.7162469,-74.0334588,29615,Subscriber,1980,1
1321,11/1/2017 5:07,11/1/2017 5:29,3207,Oakland Ave,40.7376037,-74.0524783,3276,Marin Light Rail,40.71458404,-74.04281706,31811,Subscriber,1984,2
460,11/1/2017 5:07,11/1/2017 5:15,3225,Baldwin at Montgomery,40.7236589,-74.0641943,3186,Grove St PATH,40.71958612,-74.04311746,31802,Subscriber,1964,1
