Date,Trips over the past 24-hours (midnight to 11:59pm),Miles traveled today (midnight to 11:59 pm),Total Annual Members (All Time),24-Hour Passes Purchased (midnight to 11:59 pm),3-Day Passes Purchased (midnight to 11:59 pm),"Short-Term Customers (24-Hour, 3-Day, and 7-Day Passes, midnight to 11:59pm)"
10/1/2017,55503,139011,246193,3511,235,3746
10/2/2017,65509,141748,246402,1408,242,1650
10/3/2017,69105,135800,246566,1258,194,1452
10/4/2017,71453,150324,246742,1377,188,1565
10/5/2017,70173,150437,246893,1365,251,1616
10/6/2017,70249,148395,247025,2104,383,2487
10/7/2017,63630,153928,247206,4996,356,5352
10/8/2017,41039,100790,247336,2233,192,2425
10/9/2017,38390,78912,247453,594,84,678
10/10/2017,74117,155978,247615,2016,312,2328
10/11/2017,63587,126748,247767,1146,161,1307
10/12/2017,61244,123433,247896,1070,169,1239
10/13/2017,67016,136608,248038,1768,308,2076
10/14/2017,58771,142476,248167,3680,347,4027
10/15/2017,56529,137364,248382,3381,276,3657
10/16/2017,61729,125800,248552,997,192,1189
10/17/2017,64480,122345,248712,1030,170,1200
10/18/2017,70233,147842,248878,1202,249,1451
10/19/2017,72311,143664,249016,1491,274,1765
10/20/2017,72174,157255,249162,2246,351,2597
10/21/2017,65872,169402,249378,5093,276,5369
10/22/2017,62148,153444,249596,4596,200,4796
10/23/2017,69273,143899,249825,1659,279,1938
10/24/2017,48077,95599,249930,466,82,548
10/25/2017,71284,142007,250090,1133,246,1379
10/26/2017,64002,123419,250187,973,191,1164
10/27/2017,69265,139481,250319,1991,352,2343
10/28/2017,61345,143571,250499,4306,317,4623
10/29/2017,9537,20810,250556,213,8,221
10/30/2017,49246,95502,250681,771,121,892
10/31/2017,60242,115329,250892,1076,166,1242
11/1/2017,60772,111304,250975,717,125,842
11/2/2017,70810,144455,251060,1485,291,1776
11/3/2017,71817,147055,251163,2275,335,2610
11/4/2017,53433,120119,251269,3086,243,3329
11/5/2017,34943,76281,251349,1263,80,1343
11/6/2017,57606,116318,251433,1052,133,1185
11/7/2017,36361,69588,251487,643,77,720
11/8/2017,54211,107852,251537,597,95,692
11/9/2017,58416,113119,251591,837,171,1008
11/10/2017,38432,74794,251614,425,82,507
11/11/2017,28142,55350,251657,832,64,896
11/12/2017,32471,73187,251699,1191,62,1253
11/13/2017,38752,72112,251751,314,47,361
11/14/2017,52278,95328,251802,493,59,552
11/15/2017,54230,104590,251842,524,70,594
11/16/2017,49737,93532,251884,521,74,595
11/17/2017,48989,93476,251928,712,74,786
11/18/2017,27745,58136,251965,872,53,925
11/19/2017,31597,66078,252008,1020,64,1084
11/20/2017,45120,85295,252041,501,49,550
11/21/2017,52448,95288,252075,960,69,1029
11/22/2017,32297,69530,252103,458,64,522
11/23/2017,13705,32527,252115,806,103,909
11/24/2017,23723,64012,252151,1129,95,1224
11/25/2017,30510,73542,252184,1995,85,2080
11/26/2017,27180,60652,252227,904,63,967
11/27/2017,46732,99410,252277,553,46,599
11/28/2017,51166,97329,252316,455,58,513
11/29/2017,55290,107040,252365,638,71,709
11/30/2017,51699,97110,252414,509,83,592
12/1/2017,50708,99868,252473,695,123,818
12/2/2017,38922,83660,252514,1513,100,1613
12/3/2017,33728,77915,252561,1037,66,1103
12/4/2017,49630,92142,252618,649,63,712
12/5/2017,41792,85008,252686,381,57,438
12/6/2017,46335,87328,252724,368,55,423
12/7/2017,45367,94653,252761,427,65,492
12/8/2017,41330,81217,252791,443,58,501
12/9/2017,10804,20955,252811,112,15,127
12/10/2017,19815,43621,252830,287,26,313
12/11/2017,41838,81071,252869,456,38,494
12/12/2017,42620,88499,252915,262,42,304
12/13/2017,32623,60051,252942,155,20,175
12/14/2017,27494,49648,252960,134,10,144
12/15/2017,22944,41598,252980,130,9,139
12/16/2017,19060,38766,252992,240,24,264
12/17/2017,22403,49790,253011,343,27,370
12/18/2017,40168,79914,253054,409,34,443
12/19/2017,49503,97301,253087,541,42,583
12/20/2017,41461,78833,253142,422,40,462
12/21/2017,37592,70297,253180,386,47,433
12/22/2017,34338,62387,253212,506,23,529
12/23/2017,9608,24205,253228,112,10,122
12/24/2017,13215,37985,253250,492,39,531
12/25/2017,6479,26767,253293,439,27,466
12/26/2017,14113,32919,253324,220,29,249
12/27/2017,16365,31793,253346,234,33,267
12/28/2017,13419,34438,253365,121,17,138
12/29/2017,13759,29284,253395,177,17,194
12/30/2017,5956,13910,253407,53,10,63
12/31/2017,6569,18326,253443,94,2,96
