Date,Trips over the past 24-hours (midnight to 11:59pm),Miles traveled today (midnight to 11:59 pm),Total Annual Members (All Time),24-Hour Passes Purchased (midnight to 11:59 pm),3-Day Passes Purchased (midnight to 11:59 pm),"Short-Term Customers (24-Hour, 3-Day, and 7-Day Passes, midnight to 11:59pm)"
4/1/2017,23849,67299,210739,767,43,810
4/2/2017,39779,130087,210915,3639,58,3697
4/3/2017,43484,104217,211075,970,68,1038
4/4/2017,29990,63091,211171,183,23,206
4/5/2017,47635,108281,211310,1192,59,1251
4/6/2017,18020,44411,211362,67,12,79
4/7/2017,35779,81358,211440,456,43,499
4/8/2017,35936,108886,211589,2719,83,2802
4/9/2017,43895,137240,211806,4390,114,4504
4/10/2017,50422,124356,212050,2164,139,2303
4/11/2017,57309,150222,212298,2699,135,2834
4/12/2017,51188,113959,212484,1493,108,1601
4/13/2017,52915,131228,212648,2388,129,2517
4/14/2017,52230,149382,212812,3451,273,3724
4/15/2017,42531,134526,212950,3981,235,4216
4/16/2017,48137,157912,213172,6143,361,6504
4/17/2017,53247,127619,213385,2019,234,2253
4/18/2017,53809,126129,213580,1624,194,1818
4/19/2017,45788,97587,213703,738,55,793
4/20/2017,44260,108427,213819,1065,172,1237
4/21/2017,39868,92348,213913,1194,129,1323
4/22/2017,34596,101444,214028,5173,102,5275
4/23/2017,49106,142563,214278,4541,420,4961
4/24/2017,48692,103241,214462,1143,123,1266
4/25/2017,20332,47829,214552,201,36,237
4/26/2017,37727,81859,214654,595,109,704
4/27/2017,52035,122394,214793,1412,266,1678
4/28/2017,62199,163665,214965,2963,458,3421
4/29/2017,57701,180290,215219,5699,562,6261
4/30/2017,42928,125305,215455,2921,340,3261
5/1/2017,56218,136675,215724,1813,311,2124
5/2/2017,61205,142585,216017,1827,309,2136
5/3/2017,59251,141936,216239,1537,247,1784
5/4/2017,57428,144583,216436,1626,239,1865
5/5/2017,24009,58278,216535,355,52,407
5/6/2017,46616,127879,216768,3349,363,3712
5/7/2017,34293,90625,216928,1921,196,2117
5/8/2017,51553,114260,217147,1230,253,1483
5/9/2017,56461,118257,217341,1179,199,1378
5/10/2017,58452,136080,217512,1362,225,1587
5/11/2017,57208,135699,217673,1313,205,1518
5/12/2017,56671,132477,217840,1784,189,1973
5/13/2017,5704,28193,217905,117,0,117
5/14/2017,38729,114819,218120,2664,222,2886
5/15/2017,54715,129870,218356,1279,185,1464
5/16/2017,64504,157411,218690,1850,283,2133
5/17/2017,65791,153500,219023,1864,241,2105
5/18/2017,63753,149837,219304,1929,270,2199
5/19/2017,62143,145832,219564,2310,275,2585
5/20/2017,47858,135405,219776,3486,251,3737
5/21/2017,54873,160019,220097,4903,287,5190
5/22/2017,24627,61049,220269,218,22,240
5/23/2017,60024,139680,220513,1579,224,1803
5/24/2017,60621,135482,220735,1558,153,1711
5/25/2017,17494,50743,220840,143,27,170
5/26/2017,53763,133402,221049,2224,306,2530
5/27/2017,46533,145924,221271,4590,511,5101
5/28/2017,46724,151063,221515,5229,374,5603
5/29/2017,26321,75825,221745,1149,77,1226
5/30/2017,50192,114629,222057,962,204,1166
5/31/2017,59494,142097,222764,1596,197,1793
6/1/2017,67404,163063,222977,1957,289,2246
6/2/2017,66905,157299,223162,2315,357,2672
6/3/2017,56263,155712,223356,4627,356,4983
6/4/2017,40138,100571,223520,2270,103,2373
6/5/2017,55882,123795,223719,1286,204,1490
6/6/2017,41268,86679,223834,523,89,612
6/7/2017,64452,149853,223969,1536,258,1794
6/8/2017,62652,132716,224131,1631,266,1897
6/9/2017,66504,156787,224289,2513,313,2826
6/10/2017,57086,150903,224455,4764,296,5060
6/11/2017,51427,140711,224654,3941,179,4120
6/12/2017,57870,133564,224889,1561,201,1762
6/13/2017,60920,129444,225078,1407,179,1586
6/14/2017,60510,137988,225231,1573,218,1791
6/15/2017,64761,144513,225430,1885,227,2112
6/16/2017,56401,128201,225556,1507,177,1684
6/17/2017,34899,83755,225683,2243,209,2452
6/18/2017,49469,138414,225864,3730,295,4025
6/19/2017,38308,88057,226025,878,158,1036
6/20/2017,64670,146794,226220,1781,215,1996
6/21/2017,67215,154525,226394,1666,258,1924
6/22/2017,66304,158453,226589,1818,260,2078
6/23/2017,55321,129797,226695,1585,205,1790
6/24/2017,52150,141282,226849,4277,314,4591
6/25/2017,54645,158625,227015,4527,256,4783
6/26/2017,62661,145321,227211,2024,297,2321
6/27/2017,64762,151112,227418,1697,229,1926
6/28/2017,67740,159263,227679,1893,208,2101
6/29/2017,64260,146419,227855,1703,210,1913
6/30/2017,58660,132583,228047,2024,293,2317
