Date,Trips over the past 24-hours (midnight to 11:59pm),Miles traveled today (midnight to 11:59 pm),Total Annual Members (All Time),24-Hour Passes Purchased (midnight to 11:59 pm),3-Day Passes Purchased (midnight to 11:59 pm),"Short-Term Customers (24-Hour, 3-Day, and 7-Day Passes, midnight to 11:59pm)"
4/22/18,54282,149532,260257,5399,265,5664
4/23/18,57764,131224,260545,1976,191,2167
4/24/18,58523,126491,260740,1529,159,1688
4/25/18,31213,63086,260861,403,36,439
4/26/18,66074,150788,261062,2578,294,2872
4/27/18,39153,85566,261172,823,70,893
4/28/18,56735,158334,261434,6129,369,6498
4/29/18,44825,130649,261651,3594,266,3860
4/30/18,41074,91215,261874,751,66,817
5/1/18,72035,173896,262154,3155,390,3545
5/2/18,76773,189852,262535,3270,329,3599
5/3/18,69053,165326,262816,2931,282,3213
5/4/18,71197,177291,263103,3595,360,3955
5/5/18,63325,167568,263371,6557,334,6891
5/6/18,48993,120205,263632,3484,289,3773
5/7/18,68915,156297,263992,2973,311,3284
5/8/18,74310,174749,264308,3046,356,3402
5/9/18,78454,183295,264589,3038,303,3341
5/10/18,67454,153260,264852,2408,275,2683
5/11/18,75262,184114,265052,4240,314,4554
5/12/18,34535,91563,265150,2227,92,2319
5/13/18,25985,67247,265260,1237,58,1295
5/14/18,64727,147144,265465,2553,273,2826
5/15/18,52826,118790,265682,1949,186,2135
5/16/18,32766,75694,265811,493,45,538
5/17/18,49788,107763,265936,1755,113,1868
5/18/18,63112,146437,266075,2663,240,2903
5/19/18,18026,45461,266135,639,53,692
5/20/18,56946,158983,266399,5458,304,5762
5/21/18,71218,172936,266669,3551,267,3818
5/22/18,48508,109420,266868,1090,103,1193
5/23/18,72653,170812,267098,2952,294,3246
5/24/18,74808,177631,267330,3417,294,3711
5/25/18,69342,174715,267536,4381,336,4717
5/26/18,51592,155957,267703,6129,417,6546
5/27/18,25813,78075,267815,1631,82,1713
5/28/18,49040,140226,268037,5148,267,5415
5/29/18,69090,170334,268305,2896,249,3145
5/30/18,72321,159297,268645,2742,216,2958
5/31/18,55798,123710,268998,1414,101,1515
6/1/18,62890,147780,269167,3049,250,3299
6/2/18,60287,158528,269371,5634,307,5941
6/3/18,50041,134416,269544,3892,154,4046
6/4/18,58910,130774,269763,2372,166,2538
6/5/18,71906,155007,269934,2682,199,2881
6/6/18,69797,154726,270119,2479,173,2652
6/7/18,70478,160532,270274,2808,198,3006
6/8/18,72696,163188,270455,3915,283,4198
6/9/18,65239,171623,270657,6917,292,7209
6/10/18,41639,106867,270825,3136,112,3248
6/11/18,68060,154381,271146,3044,243,3287
6/12/18,76255,166828,271364,3260,215,3475
6/13/18,64270,144934,271541,2044,104,2148
6/14/18,75803,173109,271708,3359,227,3586
6/15/18,72417,160081,271883,4005,296,4301
6/16/18,63182,165240,272071,7037,339,7376
6/17/18,56218,146611,272306,5760,232,5992
6/18/18,63551,136481,272522,2498,206,2704
6/19/18,72168,153883,272780,2902,230,3132
6/20/18,74088,165836,272950,2929,231,3160
6/21/18,70050,158375,273114,3026,262,3288
6/22/18,71084,156062,273291,3736,263,3999
6/23/18,51028,118620,273422,4172,207,4379
6/24/18,55775,152057,273615,5862,232,6094
6/25/18,71747,163026,273820,3441,221,3662
6/26/18,80643,171973,274006,3442,254,3696
6/27/18,67647,140557,274165,2457,183,2640
6/28/18,50431,104860,274290,1967,154,2121
6/29/18,69856,151785,274467,3940,326,4266
6/30/18,54713,134347,274628,5425,360,5785
7/1/18,45265,120484,274813,4209,211,
7/2/18,58633,130122,275016,2702,241,
7/3/18,54882,113998,275157,2358,199,
7/4/18,48368,136287,275304,5662,250,
7/5/18,59471,133659,275487,3344,264,
7/6/18,49504,111660,275614,2650,189,
7/7/18,60916,173852,275793,7284,349,
7/8/18,60486,171826,275988,6667,310,
7/9/18,70063,153650,276203,3103,283,
7/10/18,72501,147441,276399,2999,227,
7/11/18,73011,163349,276553,3049,170,
7/12/18,74857,161182,276703,3520,231,
7/13/18,72113,156285,276858,3998,294,
7/14/18,62556,157266,277000,7241,334,
7/15/18,52295,132234,277133,5121,248,
7/16/18,67072,146307,277344,3101,278,
7/17/18,48495,97913,277466,1558,129,
7/18/18,75706,169481,277703,3578,247,
7/19/18,78004,141327,277891,3938,280,
7/20/18,74539,136511,278052,4590,275,
7/21/18,53651,114977,278195,6266,309,
7/22/18,44284,87253,278338,4316,244,
7/23/18,53074,88170,278458,2277,152,
7/24/18,69754,117924,278651,2957,162,
7/25/18,42988,66587,278742,1474,124,
7/26/18,71065,122885,278874,3321,252,
7/27/18,49224,82987,278993,2526,251,
7/28/18,61543,129505,279147,7004,361,
7/29/18,63472,137343,279321,7244,250,
7/30/18,69512,123639,279509,3490,333,
7/31/18,76253,134233,279702,3637,246,
8/1/18,64467,106881,279888,2673,185,
8/2/18,69711,118282,280110,2998,217,
8/3/18,61962,105765,280279,3145,247,
8/4/18,51200,104541,280498,5352,198,
8/5/18,58379,122656,280721,6289,309,
8/6/18,65686,112585,280922,3022,281,
8/7/18,64351,106678,281097,2640,201,
8/8/18,70577,120473,281275,2911,267,
8/9/18,71976,124150,281441,3379,238,
8/10/18,69617,123534,281572,4266,280,
8/11/18,36607,69505,281689,2994,141,
8/12/18,59834,125265,281881,6407,281,
8/13/18,44273,70501,281991,1563,82,
8/14/18,63733,107144,282169,2592,211,
8/15/18,73124,128453,282317,3565,266,
8/16/18,70825,123444,282471,3511,276,
8/17/18,63316,109405,282583,3563,232,
8/18/18,57284,125508,282795,6672,351,
8/19/18,45874,86651,282943,3926,155,
8/20/18,67589,118793,283162,3312,224,
8/21/18,75214,132261,283358,3683,257,
8/22/18,72614,125978,283543,3366,225,
8/23/18,73877,130310,283720,3975,331,
8/24/18,72894,132952,283884,4794,320,
8/25/18,64683,140537,284066,7535,345,
8/26/18,60954,132223,284268,6928,302,
8/27/18,67630,116967,284457,3350,242,
8/28/18,66638,110486,284667,2814,150,
8/29/18,65903,107006,284791,2766,171,
8/30/18,67900,113385,284938,3218,164,
8/31/18,58922,97818,285087,3186,180,
9/1/18,54318,116904,285245,6711,439,
9/2/18,60828,140923,285368,5562,292,
9/3/18,55067,117164,285609,6239,279,
9/4/18,68655,114264,285867,2793,215,
9/5/18,74981,124919,286102,2934,191,
9/6/18,70264,113123,286304,2678,207,
9/7/18,74586,127470,286475,3523,227,
9/8/18,58284,111254,286637,5442,270,
9/9/18,19950,30544,286752,895,16,
9/10/18,23949,32472,286847,463,26,
9/11/18,66552,109380,286985,2456,193,
9/12/18,53241,82748,287120,1650,115,
9/13/18,74054,123401,287262,2874,197,
9/14/18,74330,128288,287412,3623,298,
9/15/18,71185,149524,287622,7570,353,
9/16/18,69515,150281,287897,7410,270,
9/17/18,71340,118809,288137,2914,162,
9/18/18,53077,82768,288266,1433,74,
9/19/18,74372,129089,288450,3529,290,
9/20/18,76803,129385,288599,3130,235,
9/21/18,74940,128273,288719,3677,224,
9/22/18,69133,142121,289160,7511,298,
9/23/18,55494,104944,289370,4716,184,
9/24/18,71631,115888,289524,2615,289,
9/25/18,25430,35795,289591,506,65,
9/26/18,68007,110772,289698,2423,296,
9/27/18,75370,126480,289829,3044,399,
9/28/18,57230,90249,289911,1986,296,
9/29/18,69321,145920,290170,6960,906,
9/30/18,66224,139423,290467,6367,675,
